category,text
tech,playstation chip unveiled detail chip designed power sony playstation console released san francisco monday sony ibm toshiba working cell processor three year unveil chip technology conference chip reported time faster current processor designed use graphic workstation new playstation console described supercomputer chip sony said cell processor could used bridge gap movie video game special effect graphic designed film could ported use directly video game sony told audience e exhibition los angeles last year cell could also marketed ideal technology television supercomputer everything said kevin krewell editor chief microprocessor report chip made several different processing core work task together playstation expected developer expecting get prototype early next year tune game appear launch detail chip released international solid state circuit conference san francisco detail already emerged however put inside powerful computer server cell consortium expects capable handling trillion floating point operation calculation every second chip also refined able handle detailed graphic common game data demand film broadband medium ibm said would start producing chip early manufacturing plant u first machine line using cell processor computer workstation server working version p due shown may full launch next generation console expected start future form digital content converged fused onto broadband network said ken kutaragi chief operating officer sony said last year current pc architecture nearing limit added
sport,henin hardenne beaten comeback justine henin hardenne lost elena dementieva comeback exhibition match belgium sunday second defeat two day belgian slipped eight world struggling virus face tough australian open title defence next month heading australia lot question mark know said think le pressure last time even champion henin hardenne speaking loss world number six dementieva charleroi belgium sunday previous day olympic champion went france nathalie dechy positive still week said body get accustomed stress rhythm henin hardenne slid world ranking second half contracting illness april initial lay forced circuit second time knocked french open second round comeback u open three month absence ended crashed fourth round stage despite problem still five nine official tournament entered olympic gold athens achievement saw named belgian sportswoman year friday physically obvious hit rock bottom said year old make comeback sydney international january since april exception olympics done much success prior mainly due work put building fitness time get back putting effort think capable
entertainment,brit debate urban music joss stone year old soul singer devon beat dizzee rascal jamelia lemar street win best british urban act brit award victory reignited debate urban music im really comfortable word urban word manufactured country america describe black music word urban seems cover broad range black music wrong far brit removed inner city music people far removed expect get bang music industry championing music particular genre well anyway people feel like anything u feel like urban music celebrated joss stone winning nominated brit acknowledging urban music scene kick teeth end day really relevant joss stone closest thing feel comfortable championing look like sound signed got nothing really going urban genre broad look underneath urban number core element include hip hop r b garage obviously come soul joss stone soul artist first album called soul session urban broad brushstroke umbrella top sub genre offshoot joss stone amazing success u given uk artist really captured everybody imagination year old devon voice die bunch really really good tune look good think done award best british urban act voted viewer mtv base think joss worthy winner make soul music definitely come category describe urban fact devon interesting thing music cover made large city literally rural great thing urban music big range sort root black music dance music britain think call urban new sub category uber category come joss stone certainly old enough experience older soul singer could argue inauthentic emotion coming somewhere genuine come across real cut point way judge people urban mean u organisation politically correct term describe music originated black background music become inclusive fighting multi cultural britain fighting inclusion rather exclusion joss stone accepted within urban music community think act ethnicity classical music rock accepted race make difference everyone included award dished yesterday im still trying find people race received sort recognition award type music especially street music originates city typically reflects characteristic urban life might urban r b become hip hop tainted thing r b stand rhythm blue remember ! joss stone rubbish certain anyone deserves win award urban music think probably include hip hop soul funk least rock pop year street although dizzee rascal stake good claim definitely deserved win prize joss stone album quite simply amazing easily better anything else released last year whole debate urban isnt urban completely pointless probably fueled urban artist nominated win cant see people ca congratulate talent deserve agree comment urban music stupid phrase particularly british state tend use hip hop r b say hip hop lot people idea im talking strange name rose name etc people want call urban really analysed term ance music misleading describe everything dance whilst agree term urban open interpretation strike simply weird joss stone urban hear played party inner city live brixton never heard soul session pumping bass heavy sound system party good luck joss stone let celebrate victory let also question artist successful talented jamelia lemar kanye west dizzee rascal alicia key outkast see single black artist stage collecting award saying music black heritage allowed sung anyone black acknowledged even pretty dam good amazing voice good oh black well let make feel real bad dare ! though hang called public vote one idea pigeonholing whatever popular time different happening relation jazz medium called anything swinging beat syncopated melody soulful feeling jazz much chagrin artist would mean blue would put mould bebop cool ragtime different style time jazz remains massively misunderstood term urban music truth lazy term categorise music really understand soul garage world apart musically marvin gaye v tuff jam doubt connection let music speak judge success artist number award maybe enjoy music rather represents demand prize rural music ! suck city way better hay one thing excluding become known urban music would bad excluding lenny kravitz hendrix rock music black surely dont understand point ty making lemar make music le soulful joss work might said nothing btw im black urban spent life devon countryside nonsense love joss bit care branding amazing music full stop stop puting bracket let call music let especially drop black urban tag nearly music came black origin set example ok pigeonhole people music colour surely point urban music category simply acknowledge artist making historically considered urban music irrelevent colour skin originate joss stone simply singing certain type music considered urban style someone inner city indeed usa could sing country music person good authentic sound would criticise referred country music artist representing style term urban reference music genre uk developed part controversy surrounding branding mobo award term music black origin confused offended many people particularly strange given existence asian music award appears use black white relation music make people feel uncomfortable term urban therefore invoked sidestep debate type music came first black white thereby rendering issue colourblind result redundant new debate urban also mean perhaps created new term altogether describe various strain soul rnb hip hop one also mean something else done crunk urban word come recently describe black music become popular word even use common use five six year ago way industry clumping together without call black music people oversensitive might call racist im band called urban despise label hate think belonged neat marketing niche ever since music channel record comapnies tried fracture consider music black origin label used undermine status good music commodity look tv broadcaster unable reach young people without condesending simply play urban music soundtrack dreadful cheap lift music ignore label music black man think agree statement least statement made key executive black people lead music invented stop calling genre meaningless northing meaningless real question would joss stone would successful music black thing street amy winehouse etc ever heard terri walker rhian benson time better joss stone urban music award think mobos brit joss stone urban award music great soul surely urban banner street would people whining mike skinner white seems lot fuss race real issue music nothing else urban pc version saying black music im doubting m stone talent jamelia lemar get brit reminds happened craig david soul ii soul past getting nomination easy get picking brit seems hardest thing refreshing see people making reasonable intelligent comment topic day power people ! said music like music like care label put entire category mess people like dizzee rascal joss stone like putting eminem bob geldof nominated best british r b act joss stone deserved win award talent think urban sing angel robbie williams urban nonsense term music black origin well include rock music made inner city well almost band end making music london manchester etc make weird implication black people live city make sense music put genre music like simple play heavy metal band urban music far im concerned live city spend working life urban environment therefore directly shape write musically urban seems new name style black music needed rebrand know name misleading oasis originate city characterise urban life know therefore fit term urban yet white rock band wo described joss stone fantastic voice great timing delivery reason need award brit urban categorisation red tape music business best ignored yeah deserved talented urban crap meaningless politically correct probably actually racist marketing term though two kind music good bad
tech,year search became personal odds fire browser go straight favourite search engine rather type web address may see height laziness era information overload search become vital tool navigating net symptomatic way use internet changing google shown money offering service people cannot live without shortage company vying loyalty web searcher offering wealth different service tool help find want past month giant technology world microsoft yahoo sought grab slice search action user experience contributed people searching said yonca brunini yahoo people become familiar internet tend spend time online ask query said second thing broadband m brunini told bbc news website internet colour done tv search hardly new phenomenon around since early day net veteran surfer remember old timer like hotbot altavista search always important said ur holzle google vice president operation trumpeted even truer user information people realise search future financials something google shown web commerce work targeted small advert appear top right hand side page related original search small ad helped google reach revenue three month september others woken fact make money web query see market microsoft bound step microsoft see search important nobody query said mr holzle microsoft one net giant muscling search yahoo ask jeeves amazon handful smaller outfit seeking capture eyeball web user face plethora choice company try outflank google rolling new search product desktop search reflects battlefield shifted net pc search finding way around web unlocking information hidden gigabyte document image music hard drive advance search still clumsy tool often failing come exactly mind order better job search engine trying get know better better job remembering cataloguing managing information come across personalisation going big area future said yahoo yonca brunini whoever crack give information want going winner understand give better result tailored perhaps holy grail search understanding looking providing quickly problem one yet know get
sport,tv call carroll error spur bos martin jol said team robbed manchester united pedro mendes shot clearly crossed line given referee already wearing earpiece ca stop game get decision right said jol draw end day obvious pedro shot line incredible feel robbed difficult linesman referee see mendes shot yard united goalkeeper roy carroll spilled ball net hooking clear jol added talking ball couple centimetre inch two line metre inside goal really annoys watching something tv monitor within two second incident occurring referee told play particularly well pleased even point although three mendes could believe goal given seeing replay said reaction pitch celebrate nice goal clearly line never seen one line given career really really laugh nice goal one keep memory even though count every game score halfway line manchester united manager sir alex ferguson sympathised tottenham said incident highlighted need video technology think hammer home lot people asking technology play part game ferguson told mutv originally time factor video replay read article day suggested referee ca make mind second watching video replay game carry thirty second amount time take organise free kick take corner goal kick would wasting lot time think could start using goal line decision think would opening new area football arsenal bos arsene wenger also used incident highlight need video technology whole world apart referee seen goal old trafford reinforces feel video evidence said wenger great example referee could asked see replay would seen five second goal
business,india iran gas export deal india signed deal import million tonne liquefied natural gas iran firm led oil natural gas corporation ongc also assist development iranian oil field minister eager gain access energy supply meet demand booming economy secured similar deal one iran china announcement come ongc said talk buy former asset troubled russian oil firm yukos agreement iran sealed talk new delhi middle east producer asia biggest energy consumer china india japan south korea iran opec second biggest oil producer one world top gas producer pursuing series deal rewarding lng buyer participation development oil field agreement supply india million tonne lpg annually year period ongc national iranian oil company nioc reached preliminary deal indian firm take part development yadavaran jufeyr oilfield country said statement india oil production stagnated recent year look abroad secure future supply india import total oil consumption consumption jumped million barrel per day compared bpd
sport,captain lining aid match ireland brian odriscoll one four six nation captain included northern hemisphere squad irb rugby aid match march france fabien pelous gordon bullock scotland italy marco bortolami also northern party sir clive woodward coach northern team rod macqueen southern hemisphere team tsumani fund raising match twickenham im looking forward working outstanding player said chance woodward ass option unveiling british irish lion touring party visit new zealand summer game promise great spectacle said team fielding top quality side really hope rugby public community get behind game raise much money possible deserving cause l dallaglio england b cohen england rougerie france traille france f pelous france r ibanez france p de villiers france b odriscoll ireland capt p oconnell ireland humphreys ireland c paterson scotland c cusiter scotland g bullock scotland taylor scotland lo cicero italy bortolami italy parisse italy peel wale c sweeney wale j thomas wale r williams wale j yapp wale c latham australia r caucaunibuca fiji j fourie africa umaga new zealand bobo fiji mehrtens new zealand g gregan australia capt kefu australia p waugh australia burger africa rawaqa fiji v matfield africa k visagie africa j smit africa c hoeft new zealand reserve b reihana new zealand b lima samoa e taukafa tonga palepoi samoa sititi samoa rauluni fiji n
business,swiss cement firm buying spree swiss cement firm holcim bid buy two indian cement firm holding company country plan buy associated cement company acc ambuja cement eastern holding firm ambuja cement india ltd holcim statement said share acc fell investor thought offer underpriced decided sell meanwhile uk based firm aggregate industry said agreed takeover holcim deal aggregate give holcim world second biggest cement maker entry uk market boost presence u peter tom remain aggregate chief executive said share offer provided significant value shareholder markfield leicestershire based company run quarry uk u also ready mixed concrete plant asphalt plant pre cast concrete factory indian deal go ahead give holcim major presence world fastest growing market behind china acc india second largest cement maker annual capacity million tonne market share holcim looking buy acc cheap said kk mittal fund manager escort mutual fund new delhi market impressed want substantial chunk paying premium market price share holcim rose thursday following news takeover
business,worldcom trial start new york trial bernie ebbers former chief executive bankrupt u phone company worldcom started new york selection jury mr ebbers accused mastermind behind accounting fraud eventually saw firm collapse july indictment includes charge security fraud conspiracy filing false report regulator found guilty mr ebbers could face substantial jail sentence firmly declared innocence mr ebbers leadership worldcom emerged mississippi obscurity become telecom giant darling late investor yet competition intensified telecom boom petered worldcom found growing financial stress worldcom finally collapsed shareholder lost worker lost job mr ebbers trial expected last two month latest series attempt u prosecutor pursue senior executive fraud coincide retrial former tyco international chief dennis kozlowski top lieutenant accused looting industrial conglomerate tune trail preparation also preparing former executive shamed u energy firm enron
tech,commodore find new lease life famous commodore computer brand could resurrected bought u based digital music distributor new owner yeahronimo medium venture ruled possibility new breed commodore computer also plan develop worldwide entertainment concept brand although detail yet known groundbreaking commodore computer elicits fond memory owned one back chronology home computing commodore one pioneer commodore launched one first affordable home pc followed year later amiga commodore sold single computer system even day brand languished somewhat commodore international filed bankruptcy sold dutch firm tulip computer late firm great rival atari produced range home computer brand video game formerly known infogrames tulip computer sold several product commodore name including portable usb storage device digital music player planned relaunch brand following upsurge nostalgia era game commodore enthusiast written emulator window pc apple mac even pda original commodore game still run sale commodore expected complete three week deal worth
tech,dublin hi tech lab shut dublin hi tech research laboratory medium lab europe shut research centre started irish government massachusetts institute technology hotbed technology concept since opening centre developed idea implant teeth also aimed digital hub start ups area centre supposed self funded failed attract private cash injection need statement medium lab europe said decision close taken neither irish government prestigious u based massachusetts institute technology mit willing fund prime minister bertie ahern wanted centre become big draw smaller hi tech company attempt regenerate area three dozen small firm attracted area thought effect dot com recession damaged lab long term survival lab needed million euro u million year corporate sponsor survive end deep long recession said simon jones lab managing director ian pearson bt futurologist told bbc news website closure real shame bt one company worked lab looking rfid tag development video conferencing lot talented creative people came great idea helping ensure greater benefit technology society doubt individual quickly snapped research lab synergy working team lost noel dempsey government communication minister said mr ahern committed project know disappointed come time seemed right thing said unfortunately model sustainable one current climate five year innovative unusual idea technology developed recent month patent application filed lab many concept fed science engineering psychology well technology thought idea commercially viable near term several research team explored human could react technology way entirely different human connectedness group example developed iband bracelet stored exchanged information relationship information could beamed another wearer two people shook hand project looked using human sens like touch interact devoices could embedded environment body one project examined brainwave could directly control computer game lab set old guinness brewery housed around people made staff researcher student collaborator part time undergraduate student thought people lose job lab close february according latest account medium lab europe said spent million euro u million raised million euro u million
business,imf agrees fresh turkey funding turkey agreed draft proposal international monetary fund borrow extending ongoing financial support turkey current loan agreement imf expires february new deal would see receive added support return funding turkey would expected keep inflation control introduce market reform turkey economy steadily recovered severe crisis economic growth average past three year ahead imf forecast inflation fell year first time year however turkey huge debt burden already owing imf current account deficit swelled year turkish economics minister ali babacan said two side reached general agreement new three year funding program rodrigo de rato imf managing director said loan agreement would help improve turkish economic prospect cutting debt stimulating growth believe new programme implemented successfully help turkey create condition sustained growth employment creation reduce inflation toward european level enhance economy resilience said agreement must still ratified imf director meeting expected take place next month agreement would also enable turkey defer payment previous loan worth part draft agreement turkey signed letter intent stating determination push far reaching reform tax benefit system banking sector reform considered vital turkey fulfil ambition joining european union eu decide december whether begin entry talk turkey u largest imf member strong supporter continued financial support turkey
sport,federer forced dig deep top seed roger federer save two match point squeezing past juan carlos ferrero dubai open world number one took two hour minute earn victory saving match point tiebreak claiming federer made number unforced error early allowing ferrero take advantage claim first set swiss star hit back reach quarter final face seventh seed russian mikhail youzhny russian beat germany rainer schuettler federer unduly worried despite taken three set third consecutive match world number one forced go distance ivan ljubicic rotterdam final ivo minar first round dubai definitely slow start come back every time quite effort said playing well coming im winning crucial point show im top game
sport,mcilroy aiming madrid title northern ireland man james mcilroy confident win first major title weekend spar european indoor championship madrid year old great form recent week go one metre favourite believe win abroad trial race sheffield run race front back middle said mcilroy new coach tony lester helped get mcilroy career back track year old metre runner always matched promise performance belief decision change coach move base bring reward mcilroy life windsor feel career transformed nonsense leadership style former army sergeant lester lester better known work runner roger black mark richardson past guidance mcilroy secured five win indoor season mcilroy claim best shape since finishing fourth ireland outdoor european championship last decent year said mcilroy temporarily retired last august returning sport lester shrewd guidance every race like trying climb mount everest know ca trying succeed saw sometimes standing half dead terrified starting line became bit much mcilroy compared like sebastian coe steve cram steve ovett younger day competing without benefit national lottery funding situation could change maintains current form repeat world class time produced major race erfurt stuttgart earlier season russian dmitriy bogdanov madrid venue last week claimed european championship race would dutchman arnoud okken antonio reina spain mcilroy unfazed admitted looked quite good win fair enough everyone right opinion never write let face looked like beaten season mcilroy whose time one minute erfurt elevated sixth place uk time list also already looking beyond madrid said much focused year career good team around important ultimately course weekend mean end getting prepared summer world championship ambition meant two night since last august rest time seen concentrating rebuilding career
politics,brown hit back blair rift row gordon brown criticised union leader said conflict tony blair harming working government jonathan baume top civil servant union spoke competing agenda mr brown mr blair chancellor said mr baume never meeting prime minister could judge said union leader trying block civil service reform threatened member job suited purpose mr baume union first division association suggest two agenda battling union trying resist planned reform mr brown told bbc radio today programme plan unveiled gershon report civil servant job axed changed saving ploughed back frontline service mr brown said honest think rely mr baume judgement matter come decision government making mr blair making exactly decision civil service reform determined go gershon reform also said mr baume never present meeting prime minister position judge wednesday ahead chancellor pre budget report mr baume told bbc news sometimes conflicting competing agenda government number treasury chancellor wanted mean alan milburn prime minister want see mr baume said government department get money treasury basis public service agreement sign time prime minister also agenda necessarily treasury prime minister course powerful figure government also sends instruction message direction department would like secretary state department implement policy agenda problem many occasion two add individual cabinet minister well department make sense battle number said minister interested governing soap opera mr blair mr brown tory shadow chancellor oliver letwin said battle royal top civil servant reporting chancellor tony blair preventing getting business getting taxpayer value money
entertainment,uk tv channel rapped csi ad tv channel five criticised sending offensive threatening advertising material viewer new show murder scene scientist five mailed thousand fake dossier including photo murder victim e mail suggesting recipient stalked serial killer following complaint advertising standard authority contacted five cease promotion crime show csi ny five admitted sent promotion pack stopped promotion material sent brown envelope type used investigator series spin highly successful csi crime scene investigation series also run five pack also feature picture forensic evidence crime scene wanted poster csi ny logo printed large bottom five said received complaint surprised reaction obvious material promoting drama five spokesman said light effort made make nature content transparent surprised small minority recipient mistaken anything else everyone sent promotion expressed interest receiving detail particular genre programming various website also received email call recipient praising originality imagination campaign
business,christmas sale worst since uk retail sale fell december failing meet expectation making count worst christmas since retail sale dropped month december rise november office national statistic ons said ons revised annual rate growth estimated november number retailer already reported poor figure december clothing retailer non specialist store worst hit internet retailer showing significant growth according ons last time retailer endured tougher christmas year previously sale plunged ons echoed earlier caution bank england governor mervyn king read much poor december figure analyst put positive gloss figure pointing non seasonally adjusted figure showed performance comparable november december jump last year roughly comparable recent average although way serious boom seen figure retail volume outperformed measure actual spending indication consumer looking bargain retailer cutting price however report high street retailer highlight weakness sector morrison woolworth house fraser mark spencer big food said festive period disappointing british retail consortium survey found christmas worst year yet retailer including hmv monsoon jessops body shop tesco reported festive sale well last year investec chief economist philip shaw said expect poor retail figure immediate effect interest rate retail sale figure weak bank england governor mervyn king indicated last night really get accurate impression christmas trading easter said mr shaw view bank england keep powder dry wait see big picture
tech,satellite mapping aid darfur relief aid worker trying house feed clothe million homeless refugee sudanese region darfur getting helping hand advanced mapping technology european consortium company university group known respond working provide accurate date map aim overcome huge logistical challenge getting supply needed respond using satellite imagery produce accurate map used field rapidly respond produced detailed map example road network river village large scale map useful general planning purpose said einar bjorgo unosat un satellite mapping organisation part respond consortium group us satellite nasa european space agency disaster monitoring constellation satellite data transmitted ground station information make way respond organisation specialise interpreting data convert data image interpreter convert crisis damage situation map said stefan voigt work remote sensing department one organisation german aerospace centre kind detailed analysis usually take couple month respond get done hour user usually much familiar reading satellite imagery reading satellite map task transfer data information non technical people read understand easily efficiently said mr voigt respond supply map aid group via web compact disc best map one hold hand especially remote area internet connection laptop scarce map working document explains herbert hansen respond belgian partner keyobs need use need write correct give feedback need paper write print map laminate map encapsulate map needed take shower map completely protected humanitarian group darfur making good use respond map come especially handy sudan rainy season normally dry riverbed wadi became flooded wadi small amount flooding generally term depth greatly impeded transport capability capacity humanitarian group ground say stephen candillon respond imaging partner sertit respond rapid imaging allowed aid group find way around wadi allowing mark map road washed time aid group say combination satellite technology ground observation helped keep relief flowing needed clark boyd technology correspondent world bbc world service wgbh boston co production
